label,x
JobApplicant,https://w3id.org/dpv#JobApplicant
Identity Verification,https://w3id.org/dpv#IdentityVerification
Pseudonymise,https://w3id.org/dpv#Pseudonymise
Organisation,https://w3id.org/dpv#Organisation
Credit Checking,https://w3id.org/dpv#CreditChecking
Frequency,https://w3id.org/dpv#Frequency
Customer Relationship Management,https://w3id.org/dpv#CustomerRelationshipManagement
dcat:Resource,http://www.w3.org/ns/dcat#Resource
NationalScale,https://w3id.org/dpv#NationalScale
Risk,https://w3id.org/dpv#Risk
Secure Multi-Party Computation,https://w3id.org/dpv#SecureMultiPartyComputation
Data Source,https://w3id.org/dpv#DataSource
MultiNationalScale,https://w3id.org/dpv#MultiNationalScale
Immigrant,https://w3id.org/dpv#Immigrant
Activity Ongoing,https://w3id.org/dpv#ActivityOngoing
Marketing,https://w3id.org/dpv#Marketing
MaintainCreditCheckingDatabase,https://w3id.org/dpv#MaintainCreditCheckingDatabase
Lawful,https://w3id.org/dpv#Lawful
Passive Right,https://w3id.org/dpv#PassiveRight
LargeScaleOfDataSubjects,https://w3id.org/dpv#LargeScaleOfDataSubjects
Incorrect Data,https://w3id.org/dpv#IncorrectData
Monitor,https://w3id.org/dpv#Monitor
Share,https://w3id.org/dpv#Share
Encryption at Rest,https://w3id.org/dpv#EncryptionAtRest
Personnel Management,https://w3id.org/dpv#PersonnelManagement
Parent(s) of Data Subject,https://w3id.org/dpv#ParentOfDataSubject
Service Optimisation,https://w3id.org/dpv#ServiceOptimisation
Fully Automated Processing,https://w3id.org/dpv#FullyAutomatedProcessing
Risk Level,https://w3id.org/dpv#RiskLevel
Data published by Data Subject,https://w3id.org/dpv#DataPublishedByDataSubject
Required,https://w3id.org/dpv#Required
Data Protection Impact Assessment (DPIA),https://w3id.org/dpv#DPIA
Service Personalisation,https://w3id.org/dpv#ServicePersonalisation
Obligation,https://w3id.org/dpv#Obligation
Personnel Payment,https://w3id.org/dpv#PersonnelPayment
Hardware Security Protocols,https://w3id.org/dpv#HardwareSecurityProtocols
Transform,https://w3id.org/dpv#Transform
Copy,https://w3id.org/dpv#Copy
Private Location,https://w3id.org/dpv#PrivateLocation
Trusted Third Party Utilisation,https://w3id.org/dpv#TrustedThirdPartyUtilisation
Academic Research,https://w3id.org/dpv#AcademicResearch
Third-Party Agreement,https://w3id.org/dpv#ThirdPartyAgreement
Asylum Seeker,https://w3id.org/dpv#AsylumSeeker
Sell Products to Data Subject,https://w3id.org/dpv#SellProductsToDataSubject
Status,https://w3id.org/dpv#Status
Vendor Payment,https://w3id.org/dpv#VendorPayment
Consent Revoked,https://w3id.org/dpv#ConsentRevoked
Multi-Factor Authentication (MFA),https://w3id.org/dpv#MultiFactorAuthentication
Information Security Policy,https://w3id.org/dpv#InformationSecurityPolicy
Detriment,https://w3id.org/dpv#Detriment
Client,https://w3id.org/dpv#Client
Acquire,https://w3id.org/dpv#Acquire
Non-Material Damage,https://w3id.org/dpv#NonMaterialDamage
Sporadic Frequency,https://w3id.org/dpv#SporadicFrequency
